2026-02-21 20:18:57,117 | INFO | bot.client | Binance Futures Testnet client initialized.
2026-02-21 20:18:57,118 | INFO | bot.orders | Order parameters constructed: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-21 20:18:57,118 | INFO | bot.client | Sending order to Binance: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-21 20:18:57,518 | ERROR | bot.client | Binance API error: Invalid API-key, IP, or permissions for action
2026-02-21 20:18:57,518 | ERROR | __main__ | Execution failed: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2026-02-21 20:27:33,715 | INFO | bot.client | Binance Futures Testnet client initialized.
2026-02-21 20:27:33,717 | INFO | bot.orders | Order parameters constructed: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-21 20:27:33,719 | INFO | bot.client | Sending order to Binance: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-21 20:27:34,094 | ERROR | bot.client | Binance API error: Invalid API-key, IP, or permissions for action
2026-02-21 20:27:34,094 | ERROR | __main__ | Execution failed: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2026-02-21 20:28:21,933 | INFO | bot.client | Binance Futures Testnet client initialized.
2026-02-21 20:28:21,933 | INFO | bot.orders | Order parameters constructed: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 50000.0, 'timeInForce': 'GTC'}
2026-02-21 20:28:21,933 | INFO | bot.client | Sending order to Binance: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 50000.0, 'timeInForce': 'GTC'}
2026-02-21 20:28:22,327 | ERROR | bot.client | Binance API error: Invalid API-key, IP, or permissions for action
2026-02-21 20:28:22,327 | ERROR | __main__ | Execution failed: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2026-02-21 20:31:34,857 | INFO | bot.client | Binance Futures Testnet client initialized.
2026-02-21 20:31:34,857 | INFO | bot.orders | Order parameters constructed: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-21 20:31:34,857 | INFO | bot.client | Sending order to Binance: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-21 20:31:35,259 | ERROR | bot.client | Binance API error: Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-02-21 20:31:35,259 | ERROR | __main__ | Execution failed: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-02-21 20:31:52,530 | INFO | bot.client | Binance Futures Testnet client initialized.
2026-02-21 20:31:52,531 | INFO | bot.orders | Order parameters constructed: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 50000.0, 'timeInForce': 'GTC'}
